Anchor name,Anchor target,Anchor pathway,Lib name,Lib target,Lib pathway,Link
AZD7762,"CHEK1, CHEK2",Cell cycle,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1057+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,5-Fluorouracil,Antimetabolite (DNA & RNA),Other,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1073+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1079+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Paclitaxel,Microtubule stabiliser,Mitosis,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1080+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Crizotinib,"MET, ALK, ROS1",RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1083+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1085+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Irinotecan,TOP1,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1088+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Oxaliplatin,DNA alkylating agent,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1089+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Erlotinib,EGFR,EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1168+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,MK-1775,"WEE1, PLK1",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1179+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Gemcitabine,Pyrimidine antimetabolite,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1190+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Trametinib,"MEK1, MEK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1372+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Ruxolitinib,"JAK1, JAK2","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1507+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Linsitinib,IGF1R,IGF1R signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1510+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Lapatinib,"EGFR, ERBB2",EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1558+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1561+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,SCH772984,"ERK1, ERK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1564+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1594+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,LGK974,PORCN,WNT signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1598+1022
AZD7762,"CHEK1, CHEK2",Cell cycle,Galunisertib,TGFBR1,RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/2265+1022
Cisplatin,DNA crosslinker,DNA replication,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1011+1005
Cisplatin,DNA crosslinker,DNA replication,Olaparib,"PARP1, PARP2",Genome integrity,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1017+1005
Cisplatin,DNA crosslinker,DNA replication,AZD7762,"CHEK1, CHEK2",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1022+1005
Cisplatin,DNA crosslinker,DNA replication,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1053+1005
Cisplatin,DNA crosslinker,DNA replication,Palbociclib,"CDK4, CDK6",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1054+1005
Cisplatin,DNA crosslinker,DNA replication,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1057+1005
Cisplatin,DNA crosslinker,DNA replication,5-Fluorouracil,Antimetabolite (DNA & RNA),Other,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1073+1005
Cisplatin,DNA crosslinker,DNA replication,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1079+1005
Cisplatin,DNA crosslinker,DNA replication,Paclitaxel,Microtubule stabiliser,Mitosis,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1080+1005
Cisplatin,DNA crosslinker,DNA replication,Crizotinib,"MET, ALK, ROS1",RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1083+1005
Cisplatin,DNA crosslinker,DNA replication,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1085+1005
Cisplatin,DNA crosslinker,DNA replication,Irinotecan,TOP1,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1088+1005
Cisplatin,DNA crosslinker,DNA replication,Oxaliplatin,DNA alkylating agent,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1089+1005
Cisplatin,DNA crosslinker,DNA replication,Erlotinib,EGFR,EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1168+1005
Cisplatin,DNA crosslinker,DNA replication,MK-1775,"WEE1, PLK1",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1179+1005
Cisplatin,DNA crosslinker,DNA replication,Gemcitabine,Pyrimidine antimetabolite,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1190+1005
Cisplatin,DNA crosslinker,DNA replication,Trametinib,"MEK1, MEK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1372+1005
Cisplatin,DNA crosslinker,DNA replication,Ruxolitinib,"JAK1, JAK2","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1507+1005
Cisplatin,DNA crosslinker,DNA replication,Linsitinib,IGF1R,IGF1R signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1510+1005
Cisplatin,DNA crosslinker,DNA replication,Lapatinib,"EGFR, ERBB2",EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1558+1005
Cisplatin,DNA crosslinker,DNA replication,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1561+1005
Cisplatin,DNA crosslinker,DNA replication,SCH772984,"ERK1, ERK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1564+1005
Cisplatin,DNA crosslinker,DNA replication,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1594+1005
Cisplatin,DNA crosslinker,DNA replication,LGK974,PORCN,WNT signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1598+1005
Cisplatin,DNA crosslinker,DNA replication,Galunisertib,TGFBR1,RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/2265+1005
Crizotinib,"MET, ALK, ROS1",RTK signaling,Cisplatin,DNA crosslinker,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1005+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1011+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Olaparib,"PARP1, PARP2",Genome integrity,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1017+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,AZD7762,"CHEK1, CHEK2",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1022+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1053+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Palbociclib,"CDK4, CDK6",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1054+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1057+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,5-Fluorouracil,Antimetabolite (DNA & RNA),Other,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1073+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1079+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Paclitaxel,Microtubule stabiliser,Mitosis,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1080+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1085+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Irinotecan,TOP1,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1088+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Oxaliplatin,DNA alkylating agent,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1089+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Erlotinib,EGFR,EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1168+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,MK-1775,"WEE1, PLK1",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1179+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Gemcitabine,Pyrimidine antimetabolite,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1190+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Trametinib,"MEK1, MEK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1372+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Ruxolitinib,"JAK1, JAK2","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1507+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Linsitinib,IGF1R,IGF1R signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1510+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Lapatinib,"EGFR, ERBB2",EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1558+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1561+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,SCH772984,"ERK1, ERK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1564+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1594+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,LGK974,PORCN,WNT signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1598+1083
Crizotinib,"MET, ALK, ROS1",RTK signaling,Galunisertib,TGFBR1,RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/2265+1083
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Cisplatin,DNA crosslinker,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1005+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1011+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Olaparib,"PARP1, PARP2",Genome integrity,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1017+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,AZD7762,"CHEK1, CHEK2",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1022+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1053+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Palbociclib,"CDK4, CDK6",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1054+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,5-Fluorouracil,Antimetabolite (DNA & RNA),Other,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1073+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1079+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Paclitaxel,Microtubule stabiliser,Mitosis,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1080+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Crizotinib,"MET, ALK, ROS1",RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1083+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1085+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Irinotecan,TOP1,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1088+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Oxaliplatin,DNA alkylating agent,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1089+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Erlotinib,EGFR,EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1168+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,MK-1775,"WEE1, PLK1",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1179+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Gemcitabine,Pyrimidine antimetabolite,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1190+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Trametinib,"MEK1, MEK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1372+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Ruxolitinib,"JAK1, JAK2","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1507+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Linsitinib,IGF1R,IGF1R signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1510+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Lapatinib,"EGFR, ERBB2",EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1558+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1561+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,SCH772984,"ERK1, ERK2",ERK MAPK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1564+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1594+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,LGK974,PORCN,WNT signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1598+1057
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,Galunisertib,TGFBR1,RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/2265+1057
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Cisplatin,DNA crosslinker,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1005+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1011+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Olaparib,"PARP1, PARP2",Genome integrity,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1017+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",AZD7762,"CHEK1, CHEK2",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1022+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1053+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Palbociclib,"CDK4, CDK6",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1054+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1057+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",5-Fluorouracil,Antimetabolite (DNA & RNA),Other,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1073+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Paclitaxel,Microtubule stabiliser,Mitosis,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1080+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Crizotinib,"MET, ALK, ROS1",RTK signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1083+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1085+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Irinotecan,TOP1,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1088+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Oxaliplatin,DNA alkylating agent,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1089+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Erlotinib,EGFR,EGFR signaling,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1168+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",MK-1775,"WEE1, PLK1",Cell cycle,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1179+1079
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Gemcitabine,Pyrimidine antimetabolite,DNA replication,https://gdsc-combinations.depmap.sanger.ac.uk/project/pancreas/combination/1190+1079
