drug_row	drug_col	cell_line_name	synergy_loewe
Erlotinib	Crizotinib	PL4	0.5564727
Dactolisib	Crizotinib	PL4	1.6673517
LGK974	Crizotinib	PL4	-0.4310919
Gemcitabine	Crizotinib	PL4	-1.5044439
Trametinib	Crizotinib	PL4	-0.9908679
Navitoclax	Crizotinib	PL4	3.5093694
Gemcitabine	Crizotinib	PL4	-1.0714022
Paclitaxel	Crizotinib	PL4	-0.58976156
Lapatinib	Crizotinib	PL4	-0.630467
Irinotecan	Crizotinib	PL4	-1.8828745
Palbociclib	Crizotinib	PL4	0.023098975
Taselisib	Crizotinib	PL4	-2.566932
Navitoclax	Crizotinib	PL4	2.2157848
Oxaliplatin	Crizotinib	PL4	-0.84193295
Ruxolitinib	Crizotinib	PL4	0.1110652
Cisplatin	Crizotinib	PL4	-0.6873577
AZD7762	Crizotinib	PL4	0.47550872
Olaparib	Crizotinib	PL4	-0.7442752
Linsitinib	Crizotinib	PL4	0.9959058
Erlotinib	Crizotinib	PL4	-0.31075808
Olaparib	Crizotinib	PL4	-0.9218189
OSI-027	Crizotinib	PL4	1.0879552
MK-2206	Crizotinib	PL4	0.42087677
SCH772984	Crizotinib	PL4	-0.59041834
Galunisertib	Crizotinib	PL4	-0.8701448
OSI-027	Crizotinib	PL4	1.035321
Lapatinib	Crizotinib	PL4	2.1494331
Trametinib	Crizotinib	PL4	1.650357
Cisplatin	Crizotinib	PL4	0.3905699
Dasatinib	Crizotinib	PL4	-0.77809155
5-Fluorouracil	Crizotinib	PL4	-2.4098155
Galunisertib	Crizotinib	PL4	-1.3312923
AZD7762	Crizotinib	PL4	-0.64778066
Oxaliplatin	Crizotinib	PL4	-1.2701081
Irinotecan	Crizotinib	PL4	-0.51402175
Dasatinib	Crizotinib	PL4	1.5133415
Paclitaxel	Sorafenib	PL4	-1.0454574
Irinotecan	Sorafenib	PL4	-1.1819392
AZD7762	Sorafenib	PL4	-0.72593963
Trametinib	Sorafenib	PL4	-1.5648049
Navitoclax	Sorafenib	PL4	2.5520406
Cisplatin	Sorafenib	PL4	-0.07063303
Erlotinib	Sorafenib	PL4	-0.9989292
5-Fluorouracil	Sorafenib	PL4	-1.2078508
Dactolisib	Sorafenib	PL4	-0.11422495
5-Fluorouracil	Sorafenib	PL4	-0.33128476
Crizotinib	Sorafenib	PL4	-0.40839243
Ruxolitinib	Sorafenib	PL4	-0.052718148
OSI-027	Sorafenib	PL4	-0.32417205
MK-1775	Sorafenib	PL4	-0.20355606
OSI-027	Sorafenib	PL4	0.2450922
MK-2206	Sorafenib	PL4	-0.51784945
Irinotecan	Sorafenib	PL4	0.33800822
Cisplatin	Sorafenib	PL4	-1.1549373
Trametinib	Sorafenib	PL4	6.5111346
AZD7762	Sorafenib	PL4	-0.470747
Olaparib	Sorafenib	PL4	-0.67072535
SCH772984	Sorafenib	PL4	0.24368653
Taselisib	Sorafenib	PL4	-0.2497129
MK-1775	Sorafenib	PL4	-1.2403855
LGK974	Sorafenib	PL4	-0.16130611
Gemcitabine	Sorafenib	PL4	-0.877782
Galunisertib	Sorafenib	PL4	-0.852401
Olaparib	Sorafenib	PL4	-1.7746905
Ruxolitinib	Sorafenib	PL4	0.18886319
Oxaliplatin	Sorafenib	PL4	-0.25002953
Paclitaxel	Sorafenib	PL4	-0.08516106
Lapatinib	Sorafenib	PL4	3.3257782
Lapatinib	Sorafenib	PL4	-0.6065679
Dasatinib	Sorafenib	PL4	0.60005176
MK-2206	Sorafenib	PL4	-1.0833482
SCH772984	Sorafenib	PL4	-1.0737729
Linsitinib	Sorafenib	PL4	-1.1422036
Navitoclax	Sorafenib	PL4	-0.06351659
Linsitinib	Sorafenib	PL4	1.2215499
Taselisib	Sorafenib	PL4	-0.020055236
Crizotinib	Sorafenib	PL4	0.6760991
LGK974	Sorafenib	PL4	0.41274852
Dactolisib	Sorafenib	PL4	-2.0150754
Dasatinib	Sorafenib	PL4	1.6015521
Gemcitabine	Sorafenib	PL4	-1.2094693
Galunisertib	Sorafenib	PL4	0.9177128
Oxaliplatin	Sorafenib	PL4	-0.008881357
Palbociclib	Sorafenib	PL4	-0.7615887
Palbociclib	Sorafenib	PL4	-0.62132406
Erlotinib	Sorafenib	PL4	-0.9497242
Sorafenib	Irinotecan	PL4	-0.9512131
5-Fluorouracil	Irinotecan	PL4	-2.1290848
Palbociclib	Irinotecan	PL4	-1.2447011
MK-1775	Irinotecan	PL4	-0.19154601
SCH772984	Irinotecan	PL4	-2.9038134
Dactolisib	Irinotecan	PL4	-1.8137167
LGK974	Irinotecan	PL4	-1.3040246
Dasatinib	Irinotecan	PL4	-0.31460887
Ruxolitinib	Irinotecan	PL4	-0.426095
Erlotinib	Irinotecan	PL4	-0.4039749
Crizotinib	Irinotecan	PL4	-3.1730022
Dactolisib	Irinotecan	PL4	-0.760029
LGK974	Irinotecan	PL4	-1.1210421
Gemcitabine	Irinotecan	PL4	-2.1170275
Sorafenib	Irinotecan	PL4	-1.4641193
Trametinib	Irinotecan	PL4	-2.7523468
Navitoclax	Irinotecan	PL4	2.3978355
Gemcitabine	Irinotecan	PL4	-2.076327
Paclitaxel	Irinotecan	PL4	-3.2751548
Lapatinib	Irinotecan	PL4	0.313662
Palbociclib	Irinotecan	PL4	-2.3624716
Taselisib	Irinotecan	PL4	-2.134323
Navitoclax	Irinotecan	PL4	2.5136626
Oxaliplatin	Irinotecan	PL4	-0.2889542
Ruxolitinib	Irinotecan	PL4	-1.6433848
Cisplatin	Irinotecan	PL4	0.97563666
AZD7762	Irinotecan	PL4	2.7263784
Olaparib	Irinotecan	PL4	0.14793073
Linsitinib	Irinotecan	PL4	-0.5898413
Erlotinib	Irinotecan	PL4	0.58824974
Olaparib	Irinotecan	PL4	-0.21079698
OSI-027	Irinotecan	PL4	-2.4349482
MK-2206	Irinotecan	PL4	1.2855431
Linsitinib	Irinotecan	PL4	-1.3870733
MK-2206	Irinotecan	PL4	0.07017524
Crizotinib	Irinotecan	PL4	-1.2065641
MK-1775	Irinotecan	PL4	-0.389937
Taselisib	Irinotecan	PL4	-3.1190615
Paclitaxel	Irinotecan	PL4	-3.668058
SCH772984	Irinotecan	PL4	-1.9835845
Galunisertib	Irinotecan	PL4	-0.48468304
OSI-027	Irinotecan	PL4	-0.90614617
Lapatinib	Irinotecan	PL4	1.6557062
Trametinib	Irinotecan	PL4	-3.009704
Cisplatin	Irinotecan	PL4	-0.02654882
Dasatinib	Irinotecan	PL4	-2.6679935
5-Fluorouracil	Irinotecan	PL4	-1.4650519
Galunisertib	Irinotecan	PL4	-2.2577195
AZD7762	Irinotecan	PL4	0.7696703
Oxaliplatin	Irinotecan	PL4	1.0010461
Olaparib	Irinotecan	PL4	-1.052176
Linsitinib	Irinotecan	PL4	0.13554579
Erlotinib	Irinotecan	PL4	0.29765368
Olaparib	Irinotecan	PL4	0.6667257
OSI-027	Irinotecan	PL4	-1.3896344
MK-2206	Irinotecan	PL4	0.5364402
SCH772984	Irinotecan	PL4	-1.9057364
Galunisertib	Irinotecan	PL4	-1.5751308
OSI-027	Irinotecan	PL4	-0.62776905
Lapatinib	Irinotecan	PL4	0.30313534
Linsitinib	Irinotecan	PL4	-0.545666
MK-2206	Irinotecan	PL4	0.23989183
Crizotinib	Irinotecan	PL4	-0.88654846
MK-1775	Irinotecan	PL4	1.0711387
Taselisib	Irinotecan	PL4	-3.1448665
Paclitaxel	Irinotecan	PL4	-2.487741
Sorafenib	Irinotecan	PL4	-0.4774837
5-Fluorouracil	Irinotecan	PL4	-0.79664075
Palbociclib	Irinotecan	PL4	-0.875222
Trametinib	Irinotecan	PL4	-2.9605799
Cisplatin	Irinotecan	PL4	0.1773061
Dasatinib	Irinotecan	PL4	-0.92568076
5-Fluorouracil	Irinotecan	PL4	-0.47767144
Galunisertib	Irinotecan	PL4	-1.2703675
AZD7762	Irinotecan	PL4	1.1853173
Oxaliplatin	Irinotecan	PL4	0.23887838
Dasatinib	Irinotecan	PL4	0.73431337
MK-1775	Irinotecan	PL4	-0.22398418
SCH772984	Irinotecan	PL4	-2.7691708
Dactolisib	Irinotecan	PL4	-0.922795
LGK974	Irinotecan	PL4	-0.73075867
Ruxolitinib	Irinotecan	PL4	-0.1269213
Erlotinib	Irinotecan	PL4	-0.30381092
Crizotinib	Irinotecan	PL4	-3.4660707
Dactolisib	Irinotecan	PL4	0.77933955
LGK974	Irinotecan	PL4	-2.5251806
Gemcitabine	Irinotecan	PL4	-1.8358164
Sorafenib	Irinotecan	PL4	-1.042635
Trametinib	Irinotecan	PL4	-2.9213598
Navitoclax	Irinotecan	PL4	3.515048
Gemcitabine	Irinotecan	PL4	-1.20562
Paclitaxel	Irinotecan	PL4	-2.9828546
Lapatinib	Irinotecan	PL4	0.70099336
Palbociclib	Irinotecan	PL4	-0.994188
Taselisib	Irinotecan	PL4	-0.9338217
Navitoclax	Irinotecan	PL4	1.8854576
Oxaliplatin	Irinotecan	PL4	-1.7331553
Ruxolitinib	Irinotecan	PL4	-0.65942335
Cisplatin	Irinotecan	PL4	0.7027218
AZD7762	Irinotecan	PL4	2.6534576
Linsitinib	Irinotecan	PL4	0.36128268
MK-2206	Irinotecan	PL4	-0.0144205075
Crizotinib	Irinotecan	PL4	-0.728871
MK-1775	Irinotecan	PL4	0.6697526
Taselisib	Irinotecan	PL4	-0.85290664
Paclitaxel	Irinotecan	PL4	-1.169991
Sorafenib	Irinotecan	PL4	-1.1411446
5-Fluorouracil	Irinotecan	PL4	-1.1793154
Palbociclib	Irinotecan	PL4	-1.2110503
MK-1775	Irinotecan	PL4	0.6935378
SCH772984	Irinotecan	PL4	-3.262603
Dactolisib	Irinotecan	PL4	-0.3574383
LGK974	Irinotecan	PL4	-0.3946648
Ruxolitinib	Irinotecan	PL4	-1.1622013
Erlotinib	Irinotecan	PL4	0.4883171
Crizotinib	Irinotecan	PL4	-1.228641
Dactolisib	Irinotecan	PL4	-0.1451214
LGK974	Irinotecan	PL4	-0.5575765
Gemcitabine	Irinotecan	PL4	-3.7630959
Sorafenib	Irinotecan	PL4	-2.0148845
Trametinib	Irinotecan	PL4	-2.216783
Navitoclax	Irinotecan	PL4	2.2017446
Gemcitabine	Irinotecan	PL4	-1.9812071
Paclitaxel	Irinotecan	PL4	-3.194713
Lapatinib	Irinotecan	PL4	-0.12480612
Palbociclib	Irinotecan	PL4	-1.2032067
Taselisib	Irinotecan	PL4	-0.67726976
Navitoclax	Irinotecan	PL4	2.4069793
Oxaliplatin	Irinotecan	PL4	-0.7724961
Ruxolitinib	Irinotecan	PL4	-1.0077434
Cisplatin	Irinotecan	PL4	0.6066344
AZD7762	Irinotecan	PL4	2.4744344
Olaparib	Irinotecan	PL4	-0.4788613
Linsitinib	Irinotecan	PL4	-0.47738928
Erlotinib	Irinotecan	PL4	0.14414325
Olaparib	Irinotecan	PL4	0.26172462
OSI-027	Irinotecan	PL4	-1.1289494
MK-2206	Irinotecan	PL4	0.15728962
SCH772984	Irinotecan	PL4	-2.0151553
Galunisertib	Irinotecan	PL4	-0.91743046
OSI-027	Irinotecan	PL4	-0.079578795
Lapatinib	Irinotecan	PL4	1.6551049
Trametinib	Irinotecan	PL4	-2.78672
Cisplatin	Irinotecan	PL4	-0.28605083
Dasatinib	Irinotecan	PL4	-2.4139016
5-Fluorouracil	Irinotecan	PL4	-0.8841512
Galunisertib	Irinotecan	PL4	-0.9129167
AZD7762	Irinotecan	PL4	1.6826977
Oxaliplatin	Irinotecan	PL4	0.2815149
Dasatinib	Irinotecan	PL4	-0.2161452
AZD7762	Oxaliplatin	PL4	-0.62920684
Trametinib	Oxaliplatin	PL4	-1.8401473
Navitoclax	Oxaliplatin	PL4	2.8535216
Cisplatin	Oxaliplatin	PL4	0.25605378
Erlotinib	Oxaliplatin	PL4	-1.7596902
5-Fluorouracil	Oxaliplatin	PL4	-0.07326559
Dactolisib	Oxaliplatin	PL4	1.0069404
5-Fluorouracil	Oxaliplatin	PL4	-0.27605307
Crizotinib	Oxaliplatin	PL4	-1.5282689
Ruxolitinib	Oxaliplatin	PL4	-0.09928649
OSI-027	Oxaliplatin	PL4	0.112029396
MK-1775	Oxaliplatin	PL4	-1.7909088
OSI-027	Oxaliplatin	PL4	0.6208695
MK-2206	Oxaliplatin	PL4	0.45487854
Irinotecan	Oxaliplatin	PL4	-0.19017896
Cisplatin	Oxaliplatin	PL4	-0.16103275
Trametinib	Oxaliplatin	PL4	-2.281944
AZD7762	Oxaliplatin	PL4	-0.08681634
Olaparib	Oxaliplatin	PL4	-0.4460176
SCH772984	Oxaliplatin	PL4	-1.7659823
Taselisib	Oxaliplatin	PL4	-0.7185996
MK-1775	Oxaliplatin	PL4	-1.0678132
LGK974	Oxaliplatin	PL4	-0.89264625
Gemcitabine	Oxaliplatin	PL4	-1.1381927
Galunisertib	Oxaliplatin	PL4	-0.6819301
Olaparib	Oxaliplatin	PL4	0.26743153
Ruxolitinib	Oxaliplatin	PL4	-0.35120547
Paclitaxel	Oxaliplatin	PL4	-3.2823472
Lapatinib	Oxaliplatin	PL4	0.04386593
Lapatinib	Oxaliplatin	PL4	-1.1474134
Dasatinib	Oxaliplatin	PL4	-0.50067955
MK-2206	Oxaliplatin	PL4	0.5057615
Paclitaxel	Oxaliplatin	PL4	-1.8836465
Sorafenib	Oxaliplatin	PL4	-0.7028096
Irinotecan	Oxaliplatin	PL4	-0.7744616
SCH772984	Oxaliplatin	PL4	-1.8592734
Linsitinib	Oxaliplatin	PL4	-0.40047115
Navitoclax	Oxaliplatin	PL4	1.8560541
Linsitinib	Oxaliplatin	PL4	-0.3936711
Taselisib	Oxaliplatin	PL4	-2.007126
Crizotinib	Oxaliplatin	PL4	-1.9306358
LGK974	Oxaliplatin	PL4	-1.5921272
Dactolisib	Oxaliplatin	PL4	0.06290702
Dasatinib	Oxaliplatin	PL4	-0.7606779
Gemcitabine	Oxaliplatin	PL4	-0.8277908
Galunisertib	Oxaliplatin	PL4	-0.71304274
Palbociclib	Oxaliplatin	PL4	-0.82319134
Sorafenib	Oxaliplatin	PL4	-0.009761525
Palbociclib	Oxaliplatin	PL4	-0.2414294
Erlotinib	Oxaliplatin	PL4	-3.0919063
Ruxolitinib	Oxaliplatin	PL4	-0.728909
Paclitaxel	Oxaliplatin	PL4	-0.96735567
Lapatinib	Oxaliplatin	PL4	-0.87121236
Lapatinib	Oxaliplatin	PL4	-1.0414119
Dasatinib	Oxaliplatin	PL4	-0.30121037
MK-2206	Oxaliplatin	PL4	0.29924133
SCH772984	Oxaliplatin	PL4	-2.0235534
Linsitinib	Oxaliplatin	PL4	-0.96039194
Navitoclax	Oxaliplatin	PL4	1.5431632
Linsitinib	Oxaliplatin	PL4	-0.56465197
Taselisib	Oxaliplatin	PL4	-0.94540244
Crizotinib	Oxaliplatin	PL4	-2.3191552
LGK974	Oxaliplatin	PL4	-2.812048
Dactolisib	Oxaliplatin	PL4	-0.39543676
Paclitaxel	Oxaliplatin	PL4	-2.877943
Sorafenib	Oxaliplatin	PL4	-0.07896466
Irinotecan	Oxaliplatin	PL4	0.25439325
AZD7762	Oxaliplatin	PL4	-0.6797942
Trametinib	Oxaliplatin	PL4	-2.899471
Navitoclax	Oxaliplatin	PL4	3.239129
Cisplatin	Oxaliplatin	PL4	-0.32393414
Erlotinib	Oxaliplatin	PL4	-0.7533339
5-Fluorouracil	Oxaliplatin	PL4	-1.4599121
Dactolisib	Oxaliplatin	PL4	0.3160377
Dasatinib	Oxaliplatin	PL4	-0.2316137
Gemcitabine	Oxaliplatin	PL4	-1.533106
Galunisertib	Oxaliplatin	PL4	-1.3305556
Palbociclib	Oxaliplatin	PL4	-0.23228045
Sorafenib	Oxaliplatin	PL4	-0.07065159
Palbociclib	Oxaliplatin	PL4	-0.45585188
Erlotinib	Oxaliplatin	PL4	-0.9921958
5-Fluorouracil	Oxaliplatin	PL4	0.58400065
Crizotinib	Oxaliplatin	PL4	0.73004305
Ruxolitinib	Oxaliplatin	PL4	0.5061478
OSI-027	Oxaliplatin	PL4	-0.47937173
MK-1775	Oxaliplatin	PL4	-1.2963766
OSI-027	Oxaliplatin	PL4	0.88607216
MK-2206	Oxaliplatin	PL4	0.26373163
Irinotecan	Oxaliplatin	PL4	-0.62819016
Cisplatin	Oxaliplatin	PL4	0.8030896
Trametinib	Oxaliplatin	PL4	-2.5503736
AZD7762	Oxaliplatin	PL4	-0.58923906
Olaparib	Oxaliplatin	PL4	0.1754431
SCH772984	Oxaliplatin	PL4	-2.495924
Taselisib	Oxaliplatin	PL4	-0.11631638
MK-1775	Oxaliplatin	PL4	-2.5347233
LGK974	Oxaliplatin	PL4	-1.4027134
Gemcitabine	Oxaliplatin	PL4	-0.19483125
Galunisertib	Oxaliplatin	PL4	0.09731587
Olaparib	Oxaliplatin	PL4	-0.45234698
Paclitaxel	Oxaliplatin	PL4	-2.1145709
Sorafenib	Oxaliplatin	PL4	-1.1920778
Irinotecan	Oxaliplatin	PL4	0.72383106
AZD7762	Oxaliplatin	PL4	-0.7733421
Trametinib	Oxaliplatin	PL4	-2.5561838
Navitoclax	Oxaliplatin	PL4	1.6261467
Cisplatin	Oxaliplatin	PL4	0.6357657
Erlotinib	Oxaliplatin	PL4	-0.8575427
5-Fluorouracil	Oxaliplatin	PL4	-0.54264176
Dactolisib	Oxaliplatin	PL4	-0.0774284
5-Fluorouracil	Oxaliplatin	PL4	-0.90035695
Crizotinib	Oxaliplatin	PL4	0.67238146
Ruxolitinib	Oxaliplatin	PL4	-0.016700245
OSI-027	Oxaliplatin	PL4	-1.5568109
MK-1775	Oxaliplatin	PL4	-1.7128392
OSI-027	Oxaliplatin	PL4	-0.79654646
MK-2206	Oxaliplatin	PL4	-0.77512765
Irinotecan	Oxaliplatin	PL4	-0.702022
Cisplatin	Oxaliplatin	PL4	1.0726777
Trametinib	Oxaliplatin	PL4	-2.6138363
AZD7762	Oxaliplatin	PL4	-1.692899
Olaparib	Oxaliplatin	PL4	-1.0129089
SCH772984	Oxaliplatin	PL4	-2.995606
Taselisib	Oxaliplatin	PL4	-0.8254662
MK-1775	Oxaliplatin	PL4	-2.7536309
LGK974	Oxaliplatin	PL4	-0.4953225
Gemcitabine	Oxaliplatin	PL4	-1.1049886
Galunisertib	Oxaliplatin	PL4	-0.9942104
Olaparib	Oxaliplatin	PL4	-0.53100526
Ruxolitinib	Oxaliplatin	PL4	-0.5607263
Paclitaxel	Oxaliplatin	PL4	-0.55328166
Lapatinib	Oxaliplatin	PL4	-0.38637775
Lapatinib	Oxaliplatin	PL4	-0.52572924
Dasatinib	Oxaliplatin	PL4	0.81480074
MK-2206	Oxaliplatin	PL4	-0.241351
SCH772984	Oxaliplatin	PL4	-2.053869
Linsitinib	Oxaliplatin	PL4	-0.88205
Navitoclax	Oxaliplatin	PL4	0.90082
Linsitinib	Oxaliplatin	PL4	0.16954589
Taselisib	Oxaliplatin	PL4	-0.86929893
Crizotinib	Oxaliplatin	PL4	-1.1976664
LGK974	Oxaliplatin	PL4	-1.166751
Dactolisib	Oxaliplatin	PL4	0.33024833
Dasatinib	Oxaliplatin	PL4	-1.3281122
Gemcitabine	Oxaliplatin	PL4	-3.2160048
Galunisertib	Oxaliplatin	PL4	-0.93362975
Palbociclib	Oxaliplatin	PL4	-0.16531011
Sorafenib	Oxaliplatin	PL4	0.23084065
Palbociclib	Oxaliplatin	PL4	-1.3099284
Erlotinib	Oxaliplatin	PL4	-1.8567425
Linsitinib	Erlotinib	PL4	3.7843266
MK-2206	Erlotinib	PL4	3.1267786
Crizotinib	Erlotinib	PL4	0.9540276
MK-1775	Erlotinib	PL4	5.3751783
Taselisib	Erlotinib	PL4	3.4324865
Paclitaxel	Erlotinib	PL4	1.4632874
Sorafenib	Erlotinib	PL4	0.2138532
5-Fluorouracil	Erlotinib	PL4	0.17562576
Palbociclib	Erlotinib	PL4	0.6680818
MK-1775	Erlotinib	PL4	1.8449906
SCH772984	Erlotinib	PL4	3.5011559
Dactolisib	Erlotinib	PL4	1.6859244
LGK974	Erlotinib	PL4	1.0493648
Ruxolitinib	Erlotinib	PL4	0.94776523
Crizotinib	Erlotinib	PL4	1.2915848
Dactolisib	Erlotinib	PL4	1.3327525
LGK974	Erlotinib	PL4	0.42312378
Gemcitabine	Erlotinib	PL4	1.09187
Sorafenib	Erlotinib	PL4	3.753207
Trametinib	Erlotinib	PL4	4.2537527
Navitoclax	Erlotinib	PL4	2.0088186
Gemcitabine	Erlotinib	PL4	1.0457404
Paclitaxel	Erlotinib	PL4	2.7391615
Lapatinib	Erlotinib	PL4	0.86164886
Irinotecan	Erlotinib	PL4	3.5269797
Palbociclib	Erlotinib	PL4	1.9474369
Taselisib	Erlotinib	PL4	2.91703
Navitoclax	Erlotinib	PL4	2.8082292
Oxaliplatin	Erlotinib	PL4	1.9232731
Ruxolitinib	Erlotinib	PL4	2.8928583
Cisplatin	Erlotinib	PL4	4.1648655
AZD7762	Erlotinib	PL4	2.8158488
Olaparib	Erlotinib	PL4	1.7554663
Linsitinib	Erlotinib	PL4	2.9480882
Olaparib	Erlotinib	PL4	1.7703807
OSI-027	Erlotinib	PL4	3.394651
MK-2206	Erlotinib	PL4	1.7936202
SCH772984	Erlotinib	PL4	1.8649759
Galunisertib	Erlotinib	PL4	0.068583354
OSI-027	Erlotinib	PL4	4.7508926
Lapatinib	Erlotinib	PL4	2.9479866
Trametinib	Erlotinib	PL4	3.1057086
Cisplatin	Erlotinib	PL4	1.3668287
Dasatinib	Erlotinib	PL4	4.4849067
5-Fluorouracil	Erlotinib	PL4	3.4746544
Galunisertib	Erlotinib	PL4	0.21994133
AZD7762	Erlotinib	PL4	2.835115
MK-1775	LGK974	PL4	-0.6315907
Oxaliplatin	Erlotinib	PL4	1.5724175
Irinotecan	Erlotinib	PL4	2.696976
Dasatinib	Erlotinib	PL4	2.0806277
Paclitaxel	MK-1775	PL4	-0.55881894
Sorafenib	MK-1775	PL4	0.8536402
Irinotecan	MK-1775	PL4	1.0107542
AZD7762	MK-1775	PL4	1.0014318
Trametinib	MK-1775	PL4	-0.59042287
Navitoclax	MK-1775	PL4	1.529864
Cisplatin	MK-1775	PL4	-0.30191028
Erlotinib	MK-1775	PL4	0.34380394
